2.4971 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
197.6740 	EXP 	grating: autoDraw = False
197.6741 	EXP 	window1: recordFrameIntervals = False
198.6647 	EXP 	fixation: autoDraw = True
199.6619 	EXP 	fixation: autoDraw = False
199.6789 	EXP 	grating: autoDraw = True
199.6789 	EXP 	grating: tex = 'sin'
199.9786 	EXP 	grating: autoDraw = False
200.2309 	EXP 	window1: recordFrameIntervals = False
200.2321 	DATA 	Keypress: left
200.2452 	EXP 	fixation: autoDraw = False
200.2452 	EXP 	grating: autoDraw = False
200.2454 	EXP 	window1: recordFrameIntervals = False
201.2244 	EXP 	fixation: autoDraw = True
202.2278 	EXP 	fixation: autoDraw = False
202.2278 	EXP 	grating: autoDraw = True
202.2278 	EXP 	grating: tex = 'sin'
202.5278 	EXP 	grating: autoDraw = False
202.7637 	EXP 	window1: recordFrameIntervals = False
202.7649 	DATA 	Keypress: right
202.7776 	EXP 	fixation: autoDraw = False
202.7776 	EXP 	grating: autoDraw = False
202.7778 	EXP 	window1: recordFrameIntervals = False
203.7570 	EXP 	fixation: autoDraw = True
204.7604 	EXP 	fixation: autoDraw = False
204.7604 	EXP 	grating: autoDraw = True
204.7604 	EXP 	grating: tex = 'sin'
205.0600 	EXP 	grating: autoDraw = False
205.4447 	EXP 	window1: recordFrameIntervals = False
205.4456 	DATA 	Keypress: right
205.4601 	EXP 	fixation: autoDraw = False
205.4601 	EXP 	grating: autoDraw = False
205.4602 	EXP 	window1: recordFrameIntervals = False
206.4386 	EXP 	fixation: autoDraw = True
